bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,start_rating,price,seat_availability
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35105,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),04:30,06h 15m,10:45,4.2,720,"26 Seats available
11 Window"
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9362,Super Luxury (Non AC Seater 2+2 Push Back),04:45,06h 55m,11:40,3.6,436,13 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3565,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),05:30,05h 55m,11:25,4.1,720,"23 Seats available
10 Window"
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3517,Super Luxury (Non AC Seater 2+2 Push Back),05:30,06h 40m,12:10,4.0,436,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3567,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),06:30,06h 00m,12:30,4.5,720,"34 Seats available
12 Window"
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9364,Super Luxury (Non AC Seater 2+2 Push Back),06:45,08h 20m,15:05,3.7,469,32 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3589,Super Luxury (Non AC Seater 2+2 Push Back),07:15,08h 25m,15:40,4.3,469,30 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3581,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),07:45,05h 50m,13:35,4.0,720,"21 Seats available
6 Window"
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 1446,Super Luxury (Non AC Seater 2+2 Push Back),08:00,06h 40m,14:40,4.0,469,32 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3882,Super Luxury (Non AC Seater 2+2 Push Back),08:30,07h 05m,15:35,3.8,469,29 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3593,Super Luxury (Non AC Seater 2+2 Push Back),08:45,08h 25m,17:10,2.3,469,33 Seats available
