bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,start_rating,price,seat_availability
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,04h 00m,09:00,3.8,270,"11 Seats available
5 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 135927,Volvo AC Seater 2+2,07:10,04h 30m,11:40,4.2,298,"23 Seats available
7 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 156885,Bharat Benz A/C Seater (2+2),08:00,04h 30m,12:30,4.0,298,"21 Seats available
9 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 173420,Bharat Benz A/C Seater (2+2),10:35,04h 40m,15:15,4.0,298,"11 Seats available
4 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 143958,Bharat Benz A/C Seater (2+2),16:15,04h 15m,20:30,3.8,298,"22 Seats available
9 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,NEELKANTH TRAVELS,A/C Seater Push Back (2+2),05:15,03h 15m,08:30,4.5,300,36 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Mahi Travels(Under ASTC),A/C Seater (2+2),05:40,03h 15m,08:55,4.6,349,"9 Seats available
4 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,WARISPIYA TRAVELS,AC Seater (2+2),05:45,03h 15m,09:00,4.0,360,"27 Seats available
10 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Orient Transline,A/C Seater (2+1),05:55,03h 05m,09:00,4.2,352.38,"15 Seats available
5 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,03h 55m,10:25,4.1,360,"23 Seats available
8 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Orient Transline,A/C Seater (2+1),07:35,03h 25m,11:00,3.7,342.86,"25 Seats available
13 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,WARISPIYA TRAVELS,AC Seater (2+2),07:45,04h 15m,12:00,4.1,360,"28 Seats available
11 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Mahi Travels(Under ASTC),A/C Seater (2+2),08:00,03h 30m,11:30,4.6,366,25 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Mahalaxmi Travels,Tata A/C Seater (2+2),09:55,03h 50m,13:45,3.6,300,29 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),10:10,04h 50m,15:00,3.1,450,"33 Seats available
8 Single"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater (2+1),11:15,04h 15m,15:30,3.8,450,"15 Seats available
5 Single"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),11:30,05h 15m,16:45,4.3,450,"36 Seats available
11 Single"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:30,04h 45m,16:15,3.9,324.47,"13 Seats available
5 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:00,04h 00m,17:00,4.7,389.13,"8 Seats available
2 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,14:30,04h 00m,18:30,4.1,432.06,"22 Seats available
5 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,03h 45m,19:15,4.6,389.13,"23 Seats available
9 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),22:15,05h 30m,03:45,3.7,550,"25 Seats available
13 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Pranjit Travels (Under ASTC),Non AC Seater (2+1),00:25,06h 05m,06:30,2.9,450,"9 Seats available
1 Single"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,DESTINY TRAVELS,NON A/C Seater (2+1),01:15,26h 30m,03:45,2.1,399,24 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Vihaan Travels,A/C Seater (2+1),05:15,03h 30m,08:45,2.0,350,"15 Seats available
4 Single"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Upasana Travels (Under ASTC),A/C Seater (2+2),06:30,04h 10m,10:40,2.0,480,24 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Upasana Travels (Under ASTC),Non AC Seater (2+2),06:55,04h 05m,11:00,2.5,325,"40 Seats available
20 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Kalpana Travels,AC Seater (2+2),08:50,03h 40m,12:30,1.9,342,44 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Brindaban Travels,Non AC Seater (2+2),09:15,04h 00m,13:15,2.7,315,"35 Seats available
17 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Karisma (Aziba),NON A/C Seater (2+1),09:45,04h 25m,14:10,2.6,350,20 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Maya Travels,Tata A/C Seater (2+2),13:00,04h 30m,17:30,1.6,300,"39 Seats available
19 Window"
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,PANKAJ TRAVELS,AC Seater (2+2),13:10,04h 40m,17:50,2.6,333,26 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,06h 00m,03:30,2.9,400,"23 Seats available
13 Window"
