bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,start_rating,price,seat_availability
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),21:15,10h 00m,07:15,1.4,719,"36 Seats available
18 Window"
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,09h 30m,06:00,1.0,584,44 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,10h 00m,02:30,1.0,699,"40 Seats available
20 Window"
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Jamna Travels-Jammu,Non AC Seater (2+2),21:30,10h 30m,08:00,2.4,522,"30 Seats available
15 Window"
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,10h 00m,03:15,1.0,699,"40 Seats available
20 Window"
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:50,12h 40m,09:30,4.5,680,"35 Seats available
8 Single"
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:00,12h 55m,08:55,4.3,900,"25 Seats available
4 Single"
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,City Land Travels,A/C Seater/Sleeper (2+1),20:30,12h 30m,09:00,3.6,585,"29 Seats available
8 Single"
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Zimindara Travels,AC Sleeper (2+1),15:00,13h 30m,04:30,4.5,1149,"14 Seats available
1 Single"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Gola Bus Service,A/C Seater/Sleeper (2+1),20:20,11h 30m,07:50,4.8,599,"28 Seats available
4 Single"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:10,13h 10m,09:20,4.6,643,33 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),20:00,11h 45m,07:45,4.6,749,"10 Seats available
2 Single"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,AdLaxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:15,11h 35m,09:50,4.2,635,"24 Seats available
2 Single"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:30,11h 30m,09:00,4.5,900,18 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:15,11h 45m,08:00,4.4,1058,"16 Seats available
3 Single"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:35,11h 55m,05:30,4.4,679,"12 Seats available
2 Single"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,AdLavish Travels,A/C Seater / Sleeper (2+2),16:35,12h 55m,05:30,3.6,343,"19 Seats available
9 Window"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:15,11h 15m,08:30,4.4,845,23 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),20:45,10h 50m,07:35,4.5,569,23 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,11h 15m,06:00,4.3,1000,"20 Seats available
6 Single"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),20:15,11h 15m,07:30,4.4,600,9 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),18:15,11h 45m,06:00,4.3,845,11 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Zingbus Plus,A/C Sleeper (2+1),21:15,12h 25m,09:40,4.9,726,23 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),18:00,12h 00m,06:00,4.5,709,9 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Awadh Travels,A/C Sleeper (2+2),20:55,11h 45m,08:40,3.9,1079,"46 Seats available
24 Window"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,DS Hari Travels,A/C Seater / Sleeper (2+2),21:30,11h 45m,09:15,3.0,499,"48 Seats available
24 Window"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Travel Point,A/C Seater / Sleeper (2+2),15:45,13h 15m,05:00,3.8,528,"15 Seats available
8 Window"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Jamna Travels-Jammu,A/C Seater / Sleeper (2+2),20:30,11h 30m,08:00,1.9,949,"30 Seats available
15 Window"
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Orbit Aviation Pvt. Ltd.,Mercedes Multi-Axle Semi Sleeper (2+2),14:30,12h 30m,03:00,3.7,749,39 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,FlixBus,A/C Sleeper (2+1),20:00,12h 20m,08:20,4.6,659,8 Seats available
